Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
mv-theft,34.0,51.0,36.0,38.0,39.0,39.0,58.0,50.0,30.0,39.0,41.0
assault,13.0,14.0,10.0,8.0,7.0,7.0,10.0,12.0,12.0,8.0,12.0
murder,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
arson,2.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0
robbery,6.0,21.0,12.0,22.0,18.0,17.0,15.0,16.0,18.0,12.0,10.0
burglary,52.0,38.0,43.0,36.0,36.0,44.0,80.0,59.0,62.0,47.0,45.0
property,383.0,376.0,347.0,352.0,324.0,354.0,455.0,393.0,372.0,350.0,331.0
violent-crimes,22,38.0,26.0,36.0,27.0,30.0,29.0,33.0,36.0,25.0,24.0
rape,3.0,3.0,3.0,4.0,2.0,3.0,4.0,5.0,6.0,5.0,2.0
larceny-theft,297.0,287.0,268.0,278.0,249.0,271.0,317.0,284.0,280.0,264.0,245.0
