Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Violent crime,5,3.0,4.0,8.0,5.0,0.0,5.0,12.0,2.0,2.0,1.0
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aggravated assault,2.0,2.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0
Robbery,0.0,1.0,0.0,3.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0
Burglary,30.0,11.0,7.0,28.0,38.0,28.0,25.0,20.0,20.0,14.0,4.0
Motor vehicle theft theft,8.0,1.0,3.0,6.0,1.0,2.0,1.0,6.0,8.0,3.0,8.0
Larceny-theft,170.0,178.0,125.0,138.0,147.0,149.0,143.0,117.0,142.0,130.0,119.0
Rape,3.0,0.0,1.0,3.0,1.0,0.0,2.0,8.0,1.0,1.0,0.0
Property crime,208.0,190.0,135.0,172.0,186.0,179.0,169.0,143.0,170.0,147.0,131.0
