Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
larceny,293.0,299.0,366.0,231.0,260.0,279.0,243.0,225.0,222.0,243.0,257.0
assault,2.0,8.0,10.0,6.0,11.0,8.0,16.0,5.0,7.0,6.0,10.0
murder,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arson,3.0,0.0,3.0,0.0,3.0,1.0,2.0,1.0,3.0,2.0,0.0
robbery,10.0,4.0,9.0,5.0,2.0,6.0,5.0,4.0,1.0,7.0,7.0
mv-theft,40.0,22.0,31.0,13.0,11.0,20.0,11.0,11.0,19.0,19.0,28.0
burglary,88.0,89.0,82.0,62.0,69.0,80.0,55.0,41.0,57.0,59.0,38.0
property,421.0,410.0,479.0,306.0,340.0,379.0,309.0,277.0,298.0,321.0,323.0
violent-crimes,19,13.0,21.0,12.0,15.0,15.0,21.0,14.0,11.0,15.0,20.0
rape,1.0,1.0,2.0,1.0,2.0,1.0,0.0,5.0,3.0,2.0,3.0
