Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0
Violent crime,7,6.0,4.0,1.0,5.0,1.0,6.0,3.0,0.0,4.0,1.0
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Aggravated assault,3.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Robbery,3.0,1.0,3.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0
Burglary,22.0,22.0,30.0,36.0,31.0,47.0,48.0,31.0,22.0,26.0,26.0
Motor vehicle theft theft,6.0,2.0,9.0,7.0,6.0,6.0,10.0,6.0,7.0,2.0,15.0
Larceny-theft,93.0,84.0,128.0,171.0,158.0,253.0,263.0,143.0,135.0,141.0,121.0
Rape,1.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,4.0,0.0
Property crime,121.0,108.0,167.0,214.0,195.0,306.0,321.0,180.0,164.0,169.0,162.0
