Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,,3.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,4.0
Violent crime,,54.0,32.0,47.0,32.0,43.0,31.0,46.0,39.0,57.0,52.0
Murder,,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Aggravated assault,,32.0,16.0,22.0,19.0,28.0,18.0,26.0,21.0,42.0,32.0
Robbery,,13.0,12.0,12.0,9.0,8.0,8.0,10.0,12.0,6.0,11.0
Burglary,,82.0,77.0,101.0,76.0,83.0,69.0,51.0,79.0,66.0,54.0
Motor vehicle theft theft,,55.0,53.0,31.0,20.0,27.0,32.0,22.0,22.0,22.0,43.0
Larceny-theft,,440.0,423.0,367.0,394.0,345.0,404.0,391.0,402.0,417.0,418.0
Rape,,9.0,4.0,12.0,3.0,6.0,5.0,9.0,6.0,8.0,9.0
Property crime,,577.0,553.0,499.0,490.0,455.0,505.0,464.0,503.0,505.0,515.0
