Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
larceny,,628.0,670.0,558.0,653.0,613.0,595.0,539.0,584.0,622.0,482.0
assault,,16.0,23.0,14.0,30.0,15.0,11.0,13.0,16.0,12.0,3.0
murder,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
arson,,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
robbery,,9.0,9.0,9.0,6.0,11.0,10.0,3.0,8.0,5.0,5.0
mv-theft,,54.0,59.0,31.0,50.0,55.0,24.0,40.0,23.0,33.0,29.0
burglary,,98.0,77.0,82.0,101.0,81.0,56.0,55.0,54.0,36.0,32.0
property,,780.0,806.0,671.0,804.0,749.0,675.0,634.0,661.0,691.0,543.0
violent-crimes,,31.0,45.0,24.0,37.0,26.0,21.0,16.0,25.0,17.0,10.0
rape,,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
