Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
larceny,1098.0,1046.0,1027.0,777.0,974.0,1017.0,1123.0,963.0,1079.0,878.0,660.0
assault,101.0,110.0,157.0,123.0,140.0,55.0,30.0,20.0,23.0,27.0,22.0
murder,1.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,0.0,0.0
arson,8.0,4.0,0.0,0.0,0.0,9.0,7.0,6.0,5.0,0.0,2.0
robbery,58.0,65.0,51.0,32.0,32.0,52.0,51.0,45.0,35.0,40.0,23.0
mv-theft,128.0,100.0,87.0,77.0,71.0,114.0,112.0,127.0,99.0,122.0,110.0
burglary,466.0,402.0,348.0,250.0,290.0,365.0,355.0,310.0,335.0,218.0,183.0
property,1692.0,1548.0,1462.0,1104.0,1335.0,1496.0,1590.0,1400.0,1513.0,1218.0,953.0
violent-crimes,173,187.0,236.0,182.0,200.0,118.0,93.0,82.0,72.0,78.0,55.0
rape,13.0,12.0,27.0,26.0,27.0,10.0,9.0,15.0,11.0,11.0,10.0
