Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
larceny,,128.0,131.0,138.0,102.0,160.0,149.0,141.0,139.0,110.0,95.0,95.0
assault,,1.0,1.0,3.0,3.0,4.0,2.0,9.0,1.0,5.0,9.0,2.0
murder,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arson,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
robbery,,2.0,4.0,2.0,2.0,5.0,0.0,0.0,2.0,1.0,1.0,1.0
mv-theft,,8.0,9.0,6.0,1.0,6.0,6.0,5.0,4.0,7.0,9.0,12.0
burglary,,34.0,27.0,24.0,39.0,34.0,36.0,16.0,19.0,20.0,22.0,15.0
property,,170.0,167.0,168.0,142.0,200.0,191.0,162.0,162.0,137.0,126.0,122.0
violent-crimes,,3.0,6.0,5.0,5.0,10.0,2.0,9.0,3.0,6.0,10.0,3.0
rape,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
