Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Violent crime,4,3.0,3.0,1.0,5.0,2.0,1.0,2.0,2.0,1.0,0.0
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aggravated assault,4.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
Robbery,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Burglary,17.0,23.0,16.0,8.0,14.0,21.0,7.0,15.0,11.0,5.0,4.0
Motor vehicle theft theft,12.0,5.0,5.0,6.0,2.0,3.0,3.0,1.0,0.0,0.0,9.0
Larceny-theft,100.0,105.0,105.0,72.0,98.0,82.0,78.0,56.0,61.0,44.0,107.0
Rape,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0
Property crime,129.0,133.0,126.0,86.0,114.0,106.0,88.0,72.0,72.0,49.0,120.0
