Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Violent crime,8,9.0,7.0,13.0,12.0,12.0,4.0,2.0,6.0,9.0,4.0
Murder,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Aggravated assault,2.0,4.0,5.0,12.0,10.0,9.0,0.0,1.0,3.0,6.0,2.0
Robbery,3.0,2.0,2.0,1.0,2.0,3.0,4.0,1.0,2.0,2.0,0.0
Burglary,41.0,62.0,50.0,59.0,62.0,71.0,48.0,28.0,40.0,18.0,29.0
Motor vehicle theft theft,15.0,13.0,11.0,8.0,11.0,9.0,7.0,10.0,29.0,10.0,31.0
Larceny-theft,191.0,196.0,232.0,226.0,230.0,204.0,210.0,166.0,171.0,161.0,184.0
Rape,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Property crime,247.0,271.0,293.0,293.0,303.0,284.0,265.0,204.0,240.0,189.0,244.0
