Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
larceny,,216.0,344.0,252.0,248.0,262.0,241.0,208.0,203.0,247.0,238.0
assault,,7.0,8.0,9.0,8.0,10.0,8.0,12.0,11.0,9.0,12.0
murder,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
arson,,1.0,2.0,0.0,4.0,2.0,1.0,2.0,3.0,1.0,0.0
robbery,,3.0,2.0,3.0,2.0,2.0,3.0,2.0,0.0,4.0,1.0
mv-theft,,11.0,9.0,1.0,6.0,2.0,8.0,0.0,8.0,3.0,18.0
burglary,,29.0,16.0,51.0,134.0,54.0,53.0,58.0,51.0,39.0,26.0
property,,256.0,369.0,304.0,388.0,318.0,302.0,266.0,262.0,289.0,282.0
violent-crimes,,15.0,17.0,16.0,17.0,19.0,27.0,21.0,18.0,18.0,20.0
rape,,5.0,7.0,3.0,7.0,7.0,16.0,6.0,7.0,5.0,7.0
