Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,1.0,3.0,3.0,6.0,5.0,5.0,6.0,2.0,3.0,6.0,5.0
Violent crime,132,146.0,109.0,130.0,116.0,164.0,109.0,108.0,150.0,157.0,161.0
Murder,4.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0
Aggravated assault,55.0,49.0,52.0,53.0,47.0,53.0,40.0,28.0,54.0,48.0,56.0
Robbery,62.0,75.0,41.0,50.0,46.0,76.0,45.0,53.0,64.0,64.0,75.0
Burglary,257.0,275.0,275.0,219.0,258.0,343.0,287.0,221.0,230.0,178.0,168.0
Motor vehicle theft theft,153.0,138.0,114.0,98.0,80.0,62.0,74.0,64.0,115.0,113.0,139.0
Larceny-theft,1191.0,1069.0,1237.0,1219.0,1177.0,1183.0,1201.0,972.0,1007.0,1070.0,1056.0
Rape,11.0,20.0,15.0,25.0,21.0,34.0,23.0,,31.0,45.0,30.0
Property crime,1601.0,1482.0,1626.0,1536.0,1515.0,1588.0,1562.0,1257.0,1352.0,1361.0,1363.0
