Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
larceny,80.0,149.0,103.0,78.0,97.0,197.0,109.0,93.0,55.0,67.0,87.0
assault,1.0,1.0,6.0,0.0,6.0,8.0,2.0,5.0,1.0,1.0,4.0
murder,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
arson,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robbery,0.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0
mv-theft,10.0,6.0,9.0,0.0,9.0,6.0,5.0,3.0,2.0,2.0,10.0
burglary,20.0,26.0,39.0,24.0,54.0,42.0,34.0,43.0,14.0,18.0,10.0
property,110.0,181.0,151.0,102.0,160.0,245.0,148.0,139.0,71.0,87.0,107.0
violent-crimes,1,3.0,8.0,1.0,9.0,11.0,5.0,5.0,3.0,4.0,4.0
rape,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0
