Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
mv-theft,222.0,235.0,181.0,169.0,158.0,138.0,182.0,120.0,137.0,156.0,143.0
assault,108.0,103.0,111.0,87.0,86.0,72.0,81.0,87.0,50.0,70.0,66.0
murder,1.0,3.0,1.0,2.0,6.0,0.0,2.0,1.0,2.0,1.0,4.0
arson,10.0,12.0,9.0,10.0,10.0,10.0,11.0,9.0,7.0,12.0,10.0
robbery,99.0,100.0,88.0,78.0,74.0,79.0,83.0,63.0,55.0,73.0,51.0
burglary,286.0,349.0,361.0,328.0,345.0,325.0,362.0,327.0,283.0,196.0,247.0
property,1757.0,1614.0,1611.0,1670.0,1545.0,1401.0,1573.0,1445.0,1220.0,1106.0,1312.0
violent-crimes,235,221.0,222.0,180.0,186.0,173.0,192.0,182.0,131.0,168.0,147.0
rape,27.0,15.0,22.0,13.0,20.0,22.0,26.0,31.0,24.0,24.0,26.0
larceny-theft,1249.0,1030.0,1069.0,1173.0,1042.0,938.0,1029.0,998.0,800.0,754.0,922.0
