Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
mv-theft,96.0,107.0,108.0,71.0,81.0,107.0,67.0,101.0,101.0,40.0,98.0
assault,6.0,10.0,24.0,14.0,20.0,12.0,10.0,14.0,14.0,12.0,14.0
murder,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0
arson,5.0,2.0,3.0,0.0,1.0,4.0,4.0,2.0,4.0,0.0,1.0
robbery,17.0,26.0,22.0,18.0,20.0,12.0,15.0,12.0,11.0,8.0,14.0
burglary,99.0,123.0,121.0,147.0,119.0,117.0,166.0,95.0,110.0,101.0,101.0
property,581.0,743.0,819.0,718.0,944.0,835.0,875.0,754.0,717.0,647.0,657.0
violent-crimes,25,42.0,50.0,35.0,43.0,24.0,32.0,29.0,33.0,25.0,32.0
rape,1.0,6.0,4.0,3.0,3.0,0.0,6.0,3.0,8.0,2.0,4.0
larceny-theft,386.0,513.0,590.0,500.0,744.0,611.0,642.0,558.0,506.0,506.0,458.0
