Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
mv-theft,55.0,39.0,28.0,44.0,21.0,20.0,9.0,9.0,33.0,19.0,10.0
assault,4.0,6.0,7.0,7.0,7.0,8.0,5.0,4.0,6.0,4.0,8.0
murder,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
arson,2.0,9.0,2.0,1.0,8.0,7.0,4.0,4.0,0.0,9.0,1.0
robbery,5.0,15.0,7.0,3.0,4.0,3.0,6.0,8.0,11.0,3.0,5.0
burglary,70.0,52.0,43.0,64.0,53.0,55.0,61.0,48.0,50.0,37.0,20.0
property,399.0,357.0,400.0,406.0,309.0,295.0,338.0,317.0,400.0,319.0,197.0
violent-crimes,12,26.0,17.0,12.0,13.0,14.0,18.0,16.0,23.0,16.0,16.0
rape,3.0,4.0,3.0,2.0,2.0,3.0,7.0,3.0,5.0,9.0,3.0
larceny-theft,274.0,266.0,329.0,298.0,235.0,220.0,268.0,260.0,317.0,263.0,167.0
