Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
larceny,22.0,18.0,23.0,32.0,20.0,19.0,22.0,14.0,20.0,16.0,33.0
assault,3.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arson,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
robbery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mv-theft,6.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
burglary,14.0,7.0,6.0,27.0,15.0,3.0,17.0,15.0,10.0,8.0,7.0
property,42.0,28.0,29.0,62.0,35.0,23.0,40.0,30.0,30.0,24.0,40.0
violent-crimes,4,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
rape,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
