Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
mv-theft,123.0,67.0,54.0,46.0,,,31.0,25.0,41.0,41.0,51.0
assault,54.0,28.0,26.0,28.0,,,18.0,30.0,28.0,26.0,47.0
murder,1.0,3.0,2.0,0.0,,,0.0,0.0,2.0,0.0,1.0
arson,4.0,5.0,4.0,6.0,,,5.0,0.0,8.0,1.0,8.0
robbery,31.0,22.0,23.0,20.0,,,12.0,19.0,22.0,16.0,20.0
burglary,174.0,157.0,162.0,176.0,,,198.0,142.0,131.0,125.0,161.0
property,1133.0,997.0,1030.0,932.0,,,820.0,857.0,760.0,792.0,786.0
violent-crimes,94,62.0,51.0,48.0,,,30.0,50.0,53.0,52.0,75.0
rape,8.0,9.0,0.0,0.0,,,0.0,,1.0,10.0,7.0
larceny-theft,836.0,773.0,814.0,710.0,,,591.0,690.0,588.0,626.0,574.0
