Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
larceny,560.0,535.0,577.0,610.0,634.0,562.0,549.0,591.0,591.0,541.0,595.0
assault,1.0,7.0,3.0,3.0,1.0,4.0,5.0,6.0,2.0,3.0,3.0
murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arson,0.0,2.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
robbery,10.0,12.0,7.0,9.0,4.0,12.0,17.0,11.0,12.0,1.0,10.0
mv-theft,44.0,21.0,33.0,28.0,24.0,7.0,30.0,20.0,10.0,24.0,21.0
burglary,58.0,73.0,71.0,52.0,40.0,54.0,50.0,47.0,53.0,33.0,36.0
property,662.0,629.0,681.0,690.0,698.0,623.0,629.0,658.0,654.0,598.0,652.0
violent-crimes,14,19.0,10.0,17.0,11.0,16.0,24.0,20.0,20.0,7.0,17.0
rape,3.0,0.0,0.0,5.0,6.0,0.0,2.0,3.0,6.0,3.0,4.0
