Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
larceny,106.0,104.0,111.0,106.0,83.0,85.0,91.0,75.0,83.0,74.0,71.0,76.0
assault,3.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0.0
murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arson,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
robbery,0.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
mv-theft,6.0,5.0,4.0,9.0,4.0,3.0,0.0,2.0,1.0,0.0,1.0,4.0
burglary,21.0,14.0,18.0,22.0,22.0,25.0,5.0,21.0,6.0,6.0,5.0,9.0
property,133.0,123.0,133.0,137.0,109.0,113.0,96.0,98.0,90.0,80.0,77.0,89.0
violent-crimes,3,9.0,6.0,3.0,4.0,9.0,2.0,5.0,3.0,2.0,2.0,0.0
rape,0.0,6.0,2.0,2.0,1.0,4.0,0.0,2.0,1.0,1.0,0.0,
