Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
larceny,428.0,350.0,362.0,404.0,421.0,326.0,301.0,340.0,364.0,305.0,305.0
assault,12.0,19.0,6.0,13.0,12.0,10.0,15.0,4.0,11.0,3.0,7.0
murder,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arson,3.0,2.0,0.0,5.0,4.0,1.0,4.0,3.0,0.0,1.0,1.0
robbery,10.0,4.0,5.0,7.0,9.0,14.0,6.0,6.0,5.0,7.0,6.0
mv-theft,28.0,25.0,36.0,38.0,38.0,18.0,22.0,42.0,29.0,34.0,48.0
burglary,58.0,71.0,83.0,72.0,94.0,79.0,45.0,77.0,76.0,64.0,50.0
property,514.0,446.0,481.0,514.0,553.0,423.0,368.0,459.0,469.0,403.0,403.0
violent-crimes,25,25.0,15.0,23.0,22.0,27.0,23.0,12.0,18.0,11.0,14.0
rape,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0
