Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
larceny,4.0,8.0,5.0,5.0,6.0,12.0,9.0,3.0,0.0,6.0,2.0,5.0
assault,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robbery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mv-theft,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
burglary,0.0,2.0,2.0,2.0,1.0,0.0,3.0,0.0,1.0,5.0,2.0,1.0
property,4.0,11.0,8.0,7.0,7.0,12.0,14.0,3.0,1.0,11.0,4.0,6.0
violent-crimes,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rape,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
