Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,3.0,2.0,3.0,3.0,3.0,6.0,6.0,7.0,4.0,2.0,2.0
Violent crime,17,21.0,29.0,31.0,29.0,36.0,48.0,47.0,42.0,46.0,38.0
Murder,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Aggravated assault,7.0,11.0,11.0,17.0,14.0,17.0,32.0,22.0,24.0,21.0,25.0
Robbery,7.0,9.0,10.0,10.0,8.0,12.0,8.0,8.0,7.0,20.0,7.0
Burglary,60.0,168.0,147.0,68.0,95.0,70.0,72.0,75.0,62.0,54.0,74.0
Motor vehicle theft theft,24.0,23.0,17.0,13.0,11.0,25.0,23.0,18.0,36.0,14.0,20.0
Larceny-theft,456.0,385.0,429.0,461.0,403.0,458.0,515.0,492.0,466.0,370.0,381.0
Rape,3.0,1.0,5.0,4.0,6.0,7.0,8.0,17.0,11.0,5.0,5.0
Property crime,540.0,576.0,593.0,542.0,509.0,553.0,610.0,585.0,564.0,438.0,475.0
