Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
mv-theft,10.0,10.0,5.0,6.0,6.0,5.0,10.0,4.0,12.0,11.0,16.0
assault,13.0,9.0,15.0,17.0,16.0,15.0,10.0,7.0,10.0,12.0,12.0
murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arson,4.0,1.0,1.0,1.0,0.0,1.0,3.0,4.0,0.0,3.0,2.0
robbery,9.0,2.0,2.0,5.0,6.0,5.0,3.0,0.0,1.0,1.0,1.0
burglary,41.0,30.0,45.0,27.0,27.0,13.0,8.0,6.0,9.0,9.0,29.0
property,247.0,191.0,189.0,171.0,157.0,140.0,157.0,134.0,157.0,160.0,207.0
violent-crimes,26,16.0,21.0,27.0,26.0,24.0,17.0,7.0,15.0,24.0,17.0
rape,4.0,5.0,4.0,5.0,4.0,4.0,4.0,0.0,4.0,11.0,4.0
larceny-theft,196.0,151.0,139.0,138.0,124.0,122.0,139.0,124.0,136.0,140.0,162.0
