Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
mv-theft,16.0,15.0,14.0,15.0,13.0,10.0,7.0,7.0,7.0,1.0,7.0
assault,25.0,12.0,22.0,11.0,17.0,12.0,14.0,4.0,15.0,6.0,4.0
murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arson,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
robbery,1.0,2.0,3.0,4.0,1.0,1.0,7.0,0.0,1.0,3.0,2.0
burglary,58.0,52.0,59.0,69.0,70.0,65.0,51.0,28.0,20.0,28.0,31.0
property,320.0,351.0,382.0,372.0,435.0,347.0,293.0,253.0,339.0,205.0,200.0
violent-crimes,33,19.0,30.0,20.0,20.0,16.0,24.0,5.0,17.0,13.0,8.0
rape,7.0,5.0,5.0,5.0,2.0,3.0,3.0,,1.0,4.0,2.0
larceny-theft,246.0,284.0,309.0,288.0,352.0,272.0,235.0,218.0,312.0,176.0,162.0
