Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
larceny,55.0,56.0,47.0,42.0,70.0,60.0,45.0,53.0,45.0,44.0,36.0,61.0
assault,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0
murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robbery,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,4.0
mv-theft,4.0,1.0,4.0,5.0,2.0,3.0,5.0,5.0,2.0,5.0,8.0,16.0
burglary,11.0,12.0,12.0,6.0,25.0,21.0,20.0,10.0,9.0,12.0,17.0,12.0
property,70.0,69.0,63.0,53.0,97.0,84.0,70.0,68.0,56.0,61.0,61.0,89.0
violent-crimes,1,2.0,2.0,3.0,2.0,1.0,4.0,1.0,4.0,2.0,3.0,5.0
rape,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,
