Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
larceny,1101.0,966.0,1329.0,1186.0,914.0,820.0,661.0,666.0,699.0,579.0,731.0,591.0
assault,31.0,23.0,21.0,27.0,35.0,37.0,45.0,26.0,51.0,37.0,42.0,35.0
murder,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
arson,0.0,0.0,4.0,4.0,3.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0
robbery,25.0,25.0,52.0,32.0,20.0,30.0,25.0,22.0,23.0,19.0,23.0,8.0
mv-theft,149.0,122.0,95.0,92.0,59.0,60.0,83.0,74.0,64.0,58.0,87.0,71.0
burglary,222.0,179.0,220.0,214.0,157.0,143.0,156.0,87.0,96.0,89.0,109.0,68.0
property,1472.0,1267.0,1644.0,1492.0,1130.0,1023.0,900.0,827.0,859.0,726.0,927.0,730.0
violent-crimes,60,48.0,78.0,60.0,59.0,77.0,72.0,60.0,78.0,64.0,70.0,49.0
rape,3.0,0.0,4.0,0.0,4.0,10.0,1.0,12.0,4.0,7.0,5.0,
