Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,5.0,6.0,4.0,1.0,4.0,4.0,4.0,0.0,8.0,5.0,2.0
Violent crime,80,91.0,68.0,83.0,55.0,35.0,46.0,42.0,35.0,37.0,34.0
Murder,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
Aggravated assault,48.0,46.0,34.0,45.0,32.0,11.0,11.0,18.0,12.0,10.0,7.0
Robbery,19.0,41.0,28.0,31.0,19.0,23.0,33.0,23.0,21.0,26.0,27.0
Burglary,218.0,214.0,152.0,163.0,183.0,158.0,150.0,148.0,146.0,127.0,126.0
Motor vehicle theft theft,136.0,98.0,83.0,96.0,80.0,80.0,65.0,105.0,62.0,65.0,88.0
Larceny-theft,1421.0,1588.0,1753.0,1598.0,1365.0,1515.0,1371.0,1302.0,1179.0,1156.0,1001.0
Rape,12.0,4.0,6.0,6.0,3.0,0.0,2.0,,0.0,1.0,0.0
Property crime,1775.0,1900.0,1988.0,1857.0,1628.0,1753.0,1586.0,1555.0,1387.0,1348.0,1215.0
