Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,1.0,2.0,3.0,1.0,2.0,0.0,0.0,7.0,4.0,,2.0
Violent crime,333,324.0,278.0,294.0,308.0,328.0,317.0,264.0,321.0,275.0,216.0
Murder,4.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,5.0,9.0,1.0
Aggravated assault,125.0,117.0,120.0,133.0,143.0,178.0,130.0,133.0,151.0,108.0,95.0
Robbery,194.0,200.0,146.0,154.0,157.0,143.0,179.0,110.0,110.0,114.0,73.0
Burglary,761.0,809.0,788.0,812.0,762.0,881.0,775.0,610.0,553.0,439.0,401.0
Motor vehicle theft theft,390.0,570.0,630.0,387.0,404.0,318.0,393.0,236.0,204.0,290.0,463.0
Larceny-theft,2119.0,2266.0,2096.0,2076.0,1886.0,1768.0,1749.0,1415.0,1361.0,1362.0,1257.0
Rape,10.0,6.0,11.0,6.0,6.0,4.0,5.0,,55.0,44.0,47.0
Property crime,3270.0,3645.0,3514.0,3275.0,3052.0,2967.0,2917.0,2261.0,2118.0,2091.0,2121.0
