Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
larceny,,,712.0,624.0,585.0,538.0,515.0,494.0,561.0,431.0,532.0,541.0
assault,,,161.0,190.0,220.0,257.0,308.0,223.0,101.0,106.0,151.0,71.0
murder,,,1.0,2.0,2.0,3.0,3.0,3.0,0.0,4.0,1.0,4.0
arson,,,8.0,8.0,8.0,6.0,10.0,6.0,7.0,8.0,1.0,2.0
robbery,,,22.0,56.0,50.0,41.0,45.0,50.0,40.0,26.0,30.0,33.0
mv-theft,,,75.0,57.0,70.0,49.0,66.0,61.0,105.0,71.0,81.0,102.0
burglary,,,165.0,216.0,257.0,227.0,183.0,236.0,180.0,138.0,130.0,98.0
property,,,952.0,897.0,912.0,814.0,764.0,791.0,846.0,640.0,743.0,741.0
violent-crimes,,,199.0,265.0,286.0,319.0,366.0,299.0,163.0,154.0,193.0,132.0
rape,,,15.0,17.0,14.0,18.0,10.0,23.0,22.0,18.0,11.0,
