Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
larceny,643.0,640.0,694.0,676.0,668.0,603.0,636.0,613.0,574.0,669.0,671.0
assault,0.0,0.0,3.0,2.0,10.0,11.0,5.0,8.0,4.0,2.0,7.0
murder,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
arson,2.0,3.0,2.0,2.0,0.0,2.0,4.0,0.0,3.0,2.0,1.0
robbery,13.0,15.0,15.0,16.0,17.0,12.0,14.0,9.0,14.0,23.0,10.0
mv-theft,74.0,73.0,65.0,45.0,42.0,46.0,49.0,34.0,48.0,59.0,59.0
burglary,217.0,333.0,88.0,127.0,104.0,104.0,99.0,78.0,125.0,125.0,60.0
property,934.0,1046.0,847.0,848.0,814.0,753.0,784.0,725.0,747.0,853.0,790.0
violent-crimes,24,21.0,24.0,27.0,32.0,26.0,28.0,23.0,23.0,37.0,22.0
rape,11.0,6.0,5.0,8.0,5.0,3.0,8.0,,5.0,12.0,5.0
