Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Violent crime,,30.0,13.0,12.0,17.0,11.0,12.0,22.0,20.0,8.0,22.0
Murder,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Aggravated assault,,7.0,4.0,2.0,7.0,5.0,1.0,4.0,9.0,4.0,14.0
Robbery,,22.0,9.0,9.0,8.0,6.0,11.0,14.0,8.0,4.0,6.0
Burglary,,85.0,88.0,93.0,74.0,88.0,63.0,50.0,74.0,53.0,100.0
Motor vehicle theft theft,,38.0,42.0,26.0,16.0,28.0,37.0,33.0,33.0,65.0,49.0
Larceny-theft,,470.0,483.0,408.0,493.0,483.0,478.0,387.0,449.0,452.0,433.0
Rape,,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0
Property crime,,593.0,613.0,527.0,583.0,599.0,578.0,470.0,556.0,570.0,582.0
