Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,,8.0,4.0,8.0,12.0,4.0,4.0,3.0,2.0,5.0,8.0
Violent crime,,343.0,415.0,425.0,343.0,326.0,272.0,239.0,258.0,239.0,295.0
Murder,,3.0,2.0,1.0,6.0,3.0,3.0,0.0,3.0,0.0,1.0
Aggravated assault,,207.0,276.0,257.0,196.0,218.0,192.0,164.0,182.0,178.0,211.0
Robbery,,120.0,125.0,157.0,129.0,90.0,68.0,61.0,64.0,41.0,65.0
Burglary,,284.0,284.0,314.0,323.0,297.0,250.0,245.0,219.0,202.0,239.0
Motor vehicle theft theft,,210.0,205.0,203.0,176.0,174.0,111.0,106.0,93.0,118.0,154.0
Larceny-theft,,1378.0,1426.0,1269.0,1379.0,1443.0,1352.0,1377.0,1285.0,1307.0,1034.0
Rape,,13.0,12.0,10.0,12.0,15.0,9.0,14.0,9.0,20.0,18.0
Property crime,,1872.0,1915.0,1786.0,1878.0,1914.0,1713.0,1728.0,1597.0,1627.0,1427.0
