Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,2.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0
Violent crime,9,21.0,13.0,7.0,6.0,7.0,14.0,15.0,13.0,18.0,14.0
Murder,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aggravated assault,6.0,14.0,10.0,5.0,3.0,4.0,6.0,10.0,11.0,7.0,3.0
Robbery,1.0,2.0,2.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,4.0
Burglary,29.0,38.0,36.0,46.0,27.0,18.0,36.0,6.0,5.0,14.0,18.0
Motor vehicle theft theft,20.0,13.0,17.0,4.0,2.0,4.0,13.0,16.0,4.0,7.0,8.0
Larceny-theft,76.0,60.0,77.0,47.0,24.0,28.0,72.0,87.0,92.0,63.0,35.0
Rape,2.0,4.0,1.0,0.0,2.0,2.0,3.0,2.0,1.0,10.0,7.0
Property crime,125.0,111.0,130.0,97.0,53.0,50.0,121.0,109.0,101.0,84.0,61.0
