Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0
Violent crime,19,24.0,17.0,12.0,54.0,64.0,44.0,45.0,39.0,33.0,31.0
Murder,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Aggravated assault,10.0,11.0,6.0,3.0,43.0,57.0,40.0,25.0,24.0,27.0,21.0
Robbery,9.0,13.0,11.0,6.0,11.0,5.0,4.0,12.0,7.0,4.0,6.0
Burglary,65.0,77.0,83.0,89.0,59.0,57.0,145.0,76.0,84.0,51.0,45.0
Motor vehicle theft theft,27.0,32.0,39.0,37.0,25.0,22.0,38.0,16.0,23.0,15.0,26.0
Larceny-theft,552.0,495.0,515.0,540.0,512.0,462.0,482.0,396.0,370.0,410.0,419.0
Rape,0.0,0.0,0.0,2.0,0.0,2.0,0.0,,8.0,2.0,3.0
Property crime,644.0,604.0,637.0,666.0,596.0,541.0,665.0,488.0,477.0,476.0,490.0
