Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,4.0,,4.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0
Violent crime,18,,14.0,5.0,12.0,2.0,8.0,9.0,5.0,9.0,4.0
Murder,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aggravated assault,12.0,,7.0,3.0,7.0,1.0,4.0,6.0,3.0,6.0,1.0
Robbery,4.0,,5.0,2.0,4.0,1.0,0.0,0.0,1.0,2.0,1.0
Burglary,51.0,,40.0,44.0,58.0,35.0,38.0,52.0,45.0,23.0,20.0
Motor vehicle theft theft,14.0,,8.0,8.0,15.0,5.0,15.0,14.0,3.0,16.0,14.0
Larceny-theft,168.0,,241.0,138.0,197.0,126.0,157.0,140.0,124.0,147.0,97.0
Rape,2.0,,2.0,0.0,1.0,0.0,4.0,3.0,1.0,1.0,2.0
Property crime,233.0,,289.0,190.0,270.0,166.0,210.0,206.0,172.0,186.0,131.0
