Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
larceny,174.0,180.0,146.0,126.0,139.0,127.0,142.0,141.0,125.0,70.0,88.0
assault,17.0,13.0,14.0,16.0,24.0,40.0,20.0,19.0,15.0,17.0,18.0
murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arson,3.0,6.0,2.0,1.0,6.0,2.0,3.0,3.0,1.0,2.0,0.0
robbery,4.0,6.0,3.0,5.0,3.0,2.0,3.0,2.0,8.0,5.0,3.0
mv-theft,9.0,8.0,10.0,8.0,5.0,6.0,7.0,7.0,8.0,1.0,5.0
burglary,47.0,29.0,27.0,33.0,32.0,32.0,51.0,29.0,31.0,22.0,19.0
property,230.0,217.0,183.0,167.0,176.0,165.0,200.0,177.0,164.0,93.0,112.0
violent-crimes,23,22.0,24.0,28.0,30.0,45.0,29.0,26.0,29.0,25.0,25.0
rape,2.0,3.0,7.0,7.0,3.0,3.0,6.0,5.0,6.0,3.0,4.0
