Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Violent crime,2,3.0,3.0,4.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aggravated assault,0.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0
Robbery,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Burglary,10.0,15.0,16.0,7.0,6.0,12.0,10.0,7.0,3.0,14.0,7.0
Motor vehicle theft theft,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0
Larceny-theft,72.0,76.0,67.0,60.0,77.0,55.0,77.0,69.0,61.0,90.0,63.0
Rape,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Property crime,83.0,93.0,83.0,67.0,84.0,67.0,88.0,76.0,65.0,105.0,72.0
