Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,4.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,2.0,1.0
Violent crime,31,45.0,35.0,17.0,20.0,15.0,10.0,16.0,13.0,12.0,7.0
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aggravated assault,21.0,36.0,18.0,7.0,14.0,9.0,6.0,6.0,4.0,5.0,4.0
Robbery,5.0,1.0,4.0,3.0,3.0,4.0,2.0,6.0,5.0,6.0,1.0
Burglary,51.0,48.0,31.0,66.0,46.0,59.0,45.0,69.0,47.0,20.0,42.0
Motor vehicle theft theft,18.0,15.0,17.0,10.0,19.0,8.0,10.0,17.0,13.0,20.0,17.0
Larceny-theft,165.0,161.0,174.0,149.0,124.0,162.0,106.0,146.0,98.0,123.0,119.0
Rape,5.0,8.0,13.0,7.0,3.0,2.0,2.0,4.0,4.0,1.0,2.0
Property crime,234.0,224.0,222.0,225.0,189.0,229.0,161.0,232.0,158.0,163.0,178.0
