Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
larceny,299.0,363.0,395.0,346.0,333.0,349.0,265.0,296.0,266.0,308.0,252.0,259.0
assault,7.0,8.0,9.0,11.0,12.0,15.0,3.0,8.0,4.0,10.0,9.0,18.0
murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
arson,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
robbery,11.0,12.0,7.0,18.0,11.0,10.0,12.0,7.0,15.0,12.0,15.0,7.0
mv-theft,62.0,58.0,52.0,52.0,40.0,44.0,33.0,40.0,25.0,30.0,49.0,56.0
burglary,88.0,100.0,116.0,97.0,115.0,131.0,134.0,111.0,97.0,87.0,134.0,81.0
property,449.0,521.0,563.0,495.0,488.0,524.0,432.0,447.0,388.0,425.0,435.0,396.0
violent-crimes,20,24.0,19.0,31.0,28.0,27.0,22.0,18.0,23.0,31.0,28.0,28.0
rape,2.0,4.0,3.0,2.0,5.0,2.0,7.0,3.0,3.0,8.0,4.0,
