Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
mv-theft,19.0,15.0,19.0,14.0,15.0,13.0,17.0,10.0,15.0,11.0,26.0
assault,6.0,12.0,4.0,4.0,2.0,5.0,4.0,3.0,1.0,10.0,1.0
murder,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arson,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,11.0,108.0
robbery,5.0,5.0,7.0,2.0,1.0,4.0,2.0,6.0,3.0,3.0,1.0
burglary,82.0,88.0,53.0,62.0,56.0,78.0,48.0,61.0,60.0,37.0,58.0
property,423.0,516.0,430.0,429.0,408.0,426.0,372.0,387.0,351.0,284.0,355.0
violent-crimes,15,23.0,14.0,9.0,4.0,16.0,9.0,13.0,9.0,17.0,4.0
rape,4.0,5.0,3.0,3.0,1.0,7.0,3.0,,5.0,4.0,2.0
larceny-theft,322.0,413.0,358.0,353.0,337.0,335.0,307.0,316.0,276.0,236.0,271.0
