Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
mv-theft,,50.0,49.0,40.0,51.0,26.0,36.0,42.0,35.0,39.0,67.0
assault,,19.0,5.0,8.0,9.0,6.0,11.0,7.0,7.0,8.0,6.0
murder,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
arson,,11.0,12.0,9.0,6.0,4.0,7.0,8.0,4.0,2.0,2.0
robbery,,18.0,5.0,11.0,12.0,13.0,11.0,15.0,14.0,7.0,20.0
burglary,,166.0,238.0,107.0,124.0,124.0,130.0,139.0,121.0,135.0,105.0
property,,864.0,932.0,759.0,733.0,770.0,751.0,795.0,806.0,723.0,942.0
violent-crimes,,52.0,17.0,23.0,26.0,29.0,28.0,34.0,33.0,22.0,41.0
rape,,15.0,7.0,4.0,5.0,9.0,5.0,12.0,12.0,7.0,15.0
larceny-theft,,648.0,645.0,612.0,558.0,620.0,585.0,614.0,650.0,549.0,770.0
