Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
larceny,,1316.0,1590.0,1600.0,1429.0,1498.0,1472.0,1435.0,1554.0,1509.0,1613.0
assault,,171.0,186.0,169.0,178.0,161.0,176.0,145.0,137.0,171.0,201.0
murder,,3.0,5.0,2.0,2.0,6.0,5.0,1.0,2.0,3.0,2.0
arson,,11.0,8.0,8.0,10.0,4.0,10.0,5.0,15.0,4.0,4.0
robbery,,129.0,172.0,151.0,152.0,190.0,145.0,160.0,146.0,92.0,119.0
mv-theft,,234.0,216.0,173.0,192.0,207.0,170.0,149.0,204.0,160.0,192.0
burglary,,332.0,325.0,370.0,348.0,282.0,290.0,354.0,275.0,200.0,268.0
property,,1882.0,2131.0,2143.0,1969.0,1987.0,1932.0,1938.0,2033.0,1869.0,2073.0
violent-crimes,,336.0,390.0,353.0,351.0,389.0,351.0,334.0,306.0,285.0,351.0
rape,,33.0,27.0,31.0,19.0,32.0,25.0,28.0,21.0,19.0,29.0
