Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
mv-theft,7.0,0.0,3.0,7.0,4.0,5.0,7.0,8.0,5.0,4.0,8.0
assault,1.0,3.0,5.0,3.0,2.0,4.0,7.0,4.0,9.0,10.0,10.0
murder,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arson,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0
robbery,5.0,0.0,1.0,4.0,5.0,3.0,1.0,2.0,6.0,8.0,1.0
burglary,34.0,6.0,19.0,28.0,41.0,52.0,66.0,92.0,46.0,42.0,55.0
property,325.0,341.0,329.0,258.0,267.0,312.0,330.0,400.0,315.0,268.0,252.0
violent-crimes,6,3.0,7.0,11.0,8.0,12.0,11.0,10.0,16.0,19.0,13.0
rape,0.0,0.0,0.0,4.0,1.0,5.0,3.0,4.0,1.0,1.0,2.0
larceny-theft,284.0,335.0,307.0,223.0,222.0,255.0,257.0,300.0,264.0,222.0,189.0
