Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
larceny,1070.0,1128.0,1159.0,1057.0,1004.0,1104.0,1070.0,1042.0,961.0,829.0,867.0
assault,35.0,55.0,79.0,77.0,89.0,77.0,61.0,25.0,12.0,26.0,27.0
murder,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
arson,2.0,2.0,20.0,8.0,8.0,7.0,9.0,2.0,4.0,6.0,4.0
robbery,58.0,58.0,59.0,74.0,43.0,59.0,28.0,41.0,45.0,31.0,34.0
mv-theft,262.0,202.0,181.0,153.0,120.0,128.0,98.0,136.0,125.0,165.0,116.0
burglary,209.0,209.0,208.0,215.0,188.0,309.0,245.0,251.0,224.0,181.0,177.0
property,1541.0,1539.0,1548.0,1425.0,1312.0,1541.0,1413.0,1429.0,1310.0,1175.0,1160.0
violent-crimes,98,116.0,144.0,162.0,148.0,146.0,104.0,74.0,64.0,69.0,67.0
rape,5.0,3.0,4.0,11.0,15.0,9.0,15.0,8.0,7.0,12.0,6.0
