Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
larceny,,107.0,70.0,63.0,66.0,58.0,105.0,66.0,53.0,65.0,65.0
assault,,1.0,6.0,5.0,2.0,2.0,3.0,2.0,4.0,1.0,6.0
murder,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arson,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
robbery,,1.0,2.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
mv-theft,,8.0,8.0,11.0,5.0,4.0,1.0,6.0,4.0,8.0,8.0
burglary,,72.0,46.0,88.0,50.0,33.0,25.0,26.0,18.0,22.0,23.0
property,,187.0,124.0,162.0,121.0,95.0,131.0,98.0,75.0,95.0,96.0
violent-crimes,,2.0,9.0,13.0,2.0,2.0,4.0,6.0,8.0,1.0,9.0
rape,,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0
