Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
larceny,,485.0,540.0,618.0,703.0,584.0,711.0,728.0,506.0,531.0,482.0,448.0
assault,,31.0,31.0,48.0,21.0,30.0,22.0,33.0,31.0,20.0,41.0,40.0
murder,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
arson,,9.0,7.0,0.0,2.0,5.0,4.0,1.0,3.0,4.0,3.0,1.0
robbery,,12.0,11.0,8.0,10.0,14.0,11.0,11.0,7.0,15.0,16.0,9.0
mv-theft,,35.0,38.0,28.0,19.0,21.0,20.0,34.0,22.0,29.0,17.0,37.0
burglary,,120.0,156.0,119.0,140.0,146.0,111.0,94.0,101.0,108.0,77.0,73.0
property,,640.0,734.0,765.0,862.0,751.0,842.0,856.0,629.0,668.0,576.0,558.0
violent-crimes,,53.0,54.0,70.0,51.0,61.0,51.0,59.0,44.0,47.0,62.0,56.0
rape,,10.0,11.0,14.0,20.0,17.0,18.0,15.0,4.0,11.0,5.0,
