Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,,5.0,1.0,7.0,12.0,1.0,2.0,3.0,2.0,1.0,1.0
Violent crime,,61.0,27.0,31.0,28.0,30.0,46.0,47.0,33.0,29.0,20.0
Murder,,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Aggravated assault,,35.0,12.0,16.0,12.0,15.0,34.0,26.0,12.0,15.0,12.0
Robbery,,20.0,10.0,9.0,11.0,8.0,7.0,13.0,11.0,11.0,6.0
Burglary,,87.0,68.0,105.0,66.0,67.0,65.0,64.0,99.0,55.0,51.0
Motor vehicle theft theft,,38.0,28.0,27.0,18.0,33.0,9.0,16.0,32.0,31.0,32.0
Larceny-theft,,206.0,235.0,244.0,190.0,206.0,237.0,186.0,200.0,273.0,256.0
Rape,,4.0,5.0,5.0,5.0,7.0,5.0,8.0,10.0,3.0,1.0
Property crime,,331.0,331.0,376.0,274.0,306.0,311.0,266.0,331.0,359.0,339.0
