Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
larceny,1157.0,1063.0,1211.0,1323.0,1190.0,1180.0,1348.0,1120.0,1129.0,1206.0,1351.0
assault,50.0,27.0,38.0,37.0,14.0,17.0,9.0,8.0,10.0,8.0,0.0
murder,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
arson,0.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0
robbery,59.0,53.0,62.0,40.0,44.0,46.0,35.0,35.0,37.0,45.0,38.0
mv-theft,102.0,164.0,175.0,93.0,64.0,106.0,104.0,83.0,66.0,112.0,107.0
burglary,279.0,241.0,254.0,292.0,210.0,231.0,243.0,176.0,200.0,156.0,131.0
property,1538.0,1468.0,1640.0,1708.0,1464.0,1517.0,1695.0,1379.0,1395.0,1474.0,1589.0
violent-crimes,110,83.0,104.0,84.0,61.0,68.0,46.0,45.0,49.0,55.0,40.0
rape,1.0,2.0,4.0,6.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0
