Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
mv-theft,11.0,13.0,15.0,11.0,16.0,14.0,7.0,11.0,7.0,10.0,22.0
assault,8.0,10.0,22.0,15.0,7.0,11.0,9.0,1.0,4.0,5.0,5.0
murder,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
arson,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
robbery,3.0,7.0,4.0,7.0,5.0,5.0,2.0,1.0,4.0,1.0,1.0
burglary,59.0,58.0,72.0,56.0,78.0,89.0,40.0,47.0,51.0,37.0,39.0
property,319.0,352.0,435.0,337.0,393.0,404.0,318.0,256.0,344.0,276.0,248.0
violent-crimes,12,17.0,28.0,23.0,14.0,20.0,11.0,2.0,8.0,6.0,7.0
rape,1.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0
larceny-theft,249.0,281.0,348.0,270.0,299.0,301.0,271.0,198.0,286.0,229.0,187.0
