Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
mv-theft,65.0,53.0,38.0,33.0,20.0,17.0,20.0,28.0,34.0,34.0,
assault,12.0,13.0,13.0,7.0,13.0,7.0,11.0,8.0,4.0,16.0,
murder,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
arson,2.0,0.0,2.0,1.0,7.0,0.0,1.0,0.0,1.0,1.0,
robbery,17.0,12.0,19.0,8.0,10.0,6.0,11.0,6.0,9.0,13.0,
burglary,68.0,65.0,63.0,74.0,81.0,58.0,62.0,44.0,65.0,95.0,
property,601.0,580.0,485.0,476.0,479.0,366.0,410.0,385.0,372.0,324.0,
violent-crimes,34,29.0,36.0,20.0,24.0,22.0,23.0,17.0,17.0,32.0,
rape,5.0,3.0,4.0,5.0,1.0,9.0,1.0,3.0,3.0,3.0,
larceny-theft,468.0,462.0,384.0,369.0,378.0,291.0,328.0,313.0,273.0,195.0,
