Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
mv-theft,,71.0,43.0,37.0,46.0,29.0,53.0,52.0,36.0,23.0,19.0
assault,,9.0,20.0,28.0,25.0,15.0,13.0,14.0,15.0,12.0,7.0
murder,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
arson,,0.0,1.0,2.0,0.0,2.0,4.0,1.0,1.0,1.0,2.0
robbery,,34.0,31.0,31.0,17.0,14.0,13.0,14.0,19.0,13.0,12.0
burglary,,144.0,116.0,124.0,93.0,61.0,104.0,58.0,56.0,58.0,47.0
property,,492.0,524.0,526.0,470.0,391.0,433.0,361.0,301.0,256.0,232.0
violent-crimes,,51.0,57.0,65.0,51.0,31.0,27.0,33.0,38.0,25.0,24.0
rape,,8.0,6.0,6.0,9.0,1.0,1.0,5.0,4.0,0.0,5.0
larceny-theft,,277.0,365.0,365.0,331.0,301.0,276.0,251.0,209.0,175.0,166.0
