Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,5.0,5.0,2.0,1.0,2.0,4.0,1.0,1.0,0.0,2.0,0.0
Violent crime,21,13.0,15.0,23.0,22.0,11.0,15.0,14.0,8.0,6.0,7.0
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aggravated assault,14.0,7.0,10.0,16.0,16.0,6.0,9.0,11.0,8.0,3.0,1.0
Robbery,1.0,3.0,2.0,3.0,3.0,1.0,4.0,0.0,0.0,0.0,4.0
Burglary,71.0,61.0,76.0,60.0,68.0,65.0,81.0,36.0,31.0,55.0,47.0
Motor vehicle theft theft,16.0,22.0,8.0,8.0,13.0,8.0,11.0,6.0,15.0,10.0,7.0
Larceny-theft,161.0,158.0,167.0,146.0,138.0,150.0,161.0,150.0,114.0,190.0,138.0
Rape,6.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,0.0,3.0,2.0
Property crime,248.0,241.0,251.0,214.0,219.0,223.0,253.0,192.0,160.0,255.0,192.0
