Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
larceny,424.0,486.0,489.0,464.0,406.0,391.0,361.0,353.0,384.0,371.0,441.0,684.0
assault,13.0,11.0,4.0,3.0,11.0,6.0,4.0,7.0,5.0,8.0,14.0,6.0
murder,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
arson,1.0,1.0,3.0,0.0,6.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
robbery,5.0,9.0,13.0,6.0,8.0,7.0,7.0,14.0,14.0,9.0,8.0,9.0
mv-theft,35.0,45.0,62.0,28.0,25.0,17.0,13.0,18.0,17.0,38.0,48.0,56.0
burglary,49.0,45.0,59.0,86.0,69.0,58.0,55.0,48.0,59.0,44.0,54.0,58.0
property,508.0,576.0,610.0,578.0,500.0,466.0,429.0,419.0,460.0,453.0,543.0,798.0
violent-crimes,20,24.0,24.0,16.0,23.0,22.0,15.0,25.0,22.0,19.0,29.0,21.0
rape,2.0,3.0,6.0,7.0,3.0,9.0,4.0,3.0,2.0,2.0,7.0,
