Crime,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arson,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Violent crime,4,1.0,4.0,9.0,1.0,1.0,8.0,5.0,6.0,2.0,1.0
Murder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aggravated assault,0.0,0.0,1.0,3.0,1.0,1.0,5.0,3.0,2.0,1.0,0.0
Robbery,4.0,1.0,3.0,6.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0
Burglary,10.0,9.0,12.0,37.0,27.0,19.0,23.0,14.0,29.0,45.0,32.0
Motor vehicle theft theft,4.0,2.0,3.0,4.0,15.0,9.0,7.0,17.0,15.0,8.0,11.0
Larceny-theft,72.0,90.0,96.0,101.0,114.0,97.0,77.0,65.0,92.0,80.0,89.0
Rape,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Property crime,86.0,101.0,111.0,142.0,156.0,125.0,107.0,96.0,136.0,133.0,132.0
