City,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Ansonia,2.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0
Avon,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Berlin,3.0,0.0,3.0,0.0,3.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0
Bethel,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0
Bloomfield,,3.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,4.0,7.0
Branford,,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Bridgeport,,43.0,61.0,42.0,20.0,24.0,25.0,31.0,32.0,8.0,9.0,14.0
Bristol,8.0,4.0,0.0,0.0,0.0,9.0,7.0,6.0,5.0,0.0,2.0,6.0
Brookfield,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Canton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheshire,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Clinton,,1.0,2.0,0.0,4.0,2.0,1.0,2.0,3.0,1.0,0.0,2.0
Coventry,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cromwell,,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danbury,1.0,3.0,3.0,6.0,5.0,5.0,6.0,2.0,3.0,6.0,5.0,1.0
Darien,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
Derby,,0.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0
East Hampton,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Hartford,10.0,12.0,9.0,10.0,10.0,10.0,11.0,9.0,7.0,12.0,10.0,3.0
East Haven,5.0,2.0,3.0,0.0,1.0,4.0,4.0,2.0,4.0,0.0,1.0,0.0
East Windsor,2.0,9.0,2.0,1.0,8.0,7.0,4.0,4.0,0.0,9.0,1.0,2.0
Easton,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Enfield,4.0,5.0,4.0,6.0,,,5.0,0.0,8.0,1.0,8.0,0.0
Fairfield,1.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,2.0,1.0,0.0,0.0
Farmington,0.0,2.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Glastonbury,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,0.0
Granby,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Greenwich,3.0,2.0,0.0,5.0,4.0,1.0,4.0,3.0,0.0,1.0,1.0,0.0
Groton,4.0,1.0,1.0,1.0,0.0,1.0,3.0,4.0,0.0,3.0,2.0,1.0
Groton Long Point,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Groton Town,3.0,2.0,3.0,3.0,3.0,6.0,6.0,7.0,4.0,2.0,2.0,3.0
Guilford,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
