City,Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006_hist,2007_hist,2008_hist,2009_hist,2010_hist,2011_hist,2012_hist,2013_hist,2014_hist,Unnamed: 32,2006_new,2007_new,2008_new,2009_new,2010_new,2011_new,2012_new,2013_new,2014_new,2015,2016,2006_diff,2006_diff_pct,2006,2007_diff,2007_diff_pct,2007,2008_diff,2008_diff_pct,2008,2009_diff,2009_diff_pct,2009,2010_diff,2010_diff_pct,2010,2011_diff,2011_diff_pct,2011,2012_diff,2012_diff_pct,2012,2013_diff,2013_diff_pct,2013,2014_diff,2014_diff_pct,2014
Ansonia,Ansonia Police Dept,CT,53.0,36.0,17.0,40.0,29.0,35.0,28.0,28.0,45.0,45.0,41.0,53.0,89.0,116.0,35.0,38.0,70.0,14.0,13.0,12.0,4.0,18.0,13.0,10.0,8.0,8.0,7.0,10.0,12.0,14.0,,13.0,14.0,10.0,8.0,7.0,7.0,10.0,12.0,12.0,8.0,12.0,-5.0,-0.277777777778,,1.0,0.0769230769231,,0.0,0.0,10.0,0.0,0.0,8.0,-1.0,-0.125,,0.0,0.0,7.0,0.0,0.0,10.0,0.0,0.0,12.0,-2.0,-0.142857142857,
Avon,Avon Police Dept,CT,4.0,6.0,9.0,5.0,4.0,4.0,4.0,5.0,2.0,3.0,0.0,0.0,1.0,4.0,3.0,4.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,0.0,1.0,1.0,1.0,,2.0,2.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,-1.0,-0.25,,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
Berlin,Berlin Police Dept,CT,1.0,1.0,2.0,4.0,2.0,5.0,0.0,4.0,4.0,9.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,12.0,9.0,6.0,10.0,2.0,9.0,10.0,7.0,13.0,8.0,16.0,6.0,7.0,,2.0,8.0,10.0,6.0,11.0,8.0,16.0,5.0,7.0,6.0,10.0,0.0,0.0,2.0,-1.0,-0.111111111111,,0.0,0.0,10.0,-1.0,-0.142857142857,,-2.0,-0.153846153846,,0.0,0.0,8.0,0.0,0.0,16.0,-1.0,-0.166666666667,,0.0,0.0,7.0
Bethel,Bethel Police Dept,CT,4.0,3.0,6.0,3.0,2.0,3.0,3.0,8.0,14.0,24.0,16.0,19.0,14.0,13.0,2.0,1.0,3.0,3.0,5.0,4.0,1.0,4.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,3.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,-0.25,,-1.0,-0.25,,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0
Bloomfield,Bloomfield Police Dept,CT,17.0,22.0,22.0,61.0,53.0,51.0,38.0,22.0,60.0,60.0,46.0,58.0,44.0,48.0,26.0,34.0,119.0,95.0,51.0,16.0,33.0,40.0,33.0,16.0,24.0,23.0,28.0,18.0,27.0,21.0,,,32.0,16.0,22.0,19.0,28.0,18.0,26.0,21.0,42.0,32.0,,,,-1.0,-0.030303030303,,0.0,0.0,16.0,-2.0,-0.0833333333333,,-4.0,-0.173913043478,,0.0,0.0,28.0,0.0,0.0,18.0,-1.0,-0.037037037037,,0.0,0.0,21.0
Branford,Branford Police Dept,CT,6.0,8.0,9.0,3.0,7.0,7.0,9.0,16.0,10.0,18.0,9.0,1.0,20.0,12.0,10.0,19.0,32.0,17.0,16.0,13.0,8.0,14.0,16.0,23.0,14.0,30.0,15.0,11.0,13.0,16.0,,,16.0,23.0,14.0,30.0,15.0,11.0,13.0,16.0,12.0,3.0,,,,0.0,0.0,16.0,0.0,0.0,23.0,0.0,0.0,14.0,0.0,0.0,30.0,0.0,0.0,15.0,0.0,0.0,11.0,0.0,0.0,13.0,0.0,0.0,16.0
Bridgeport,Bridgeport Police Dept,CT,834.0,829.0,732.0,921.0,1014.0,982.0,993.0,924.0,848.0,814.0,666.0,1054.0,1399.0,1112.0,999.0,1291.0,1217.0,1063.0,862.0,805.0,776.0,753.0,837.0,823.0,777.0,772.0,701.0,744.0,720.0,689.0,,753.0,837.0,823.0,777.0,772.0,701.0,744.0,720.0,689.0,456.0,595.0,0.0,0.0,753.0,0.0,0.0,837.0,0.0,0.0,823.0,0.0,0.0,777.0,0.0,0.0,772.0,0.0,0.0,701.0,0.0,0.0,744.0,0.0,0.0,720.0,0.0,0.0,689.0
Bristol,Bristol Police Dept,CT,116.0,170.0,121.0,158.0,172.0,119.0,233.0,240.0,289.0,333.0,285.0,175.0,163.0,202.0,195.0,186.0,180.0,177.0,65.0,68.0,65.0,101.0,110.0,157.0,133.0,140.0,55.0,30.0,20.0,23.0,,101.0,110.0,157.0,123.0,140.0,55.0,30.0,20.0,23.0,27.0,22.0,0.0,0.0,101.0,0.0,0.0,110.0,0.0,0.0,157.0,-10.0,-0.0751879699248,,0.0,0.0,140.0,0.0,0.0,55.0,0.0,0.0,30.0,0.0,0.0,20.0,0.0,0.0,23.0
Brookfield,Brookfield Police Dept,CT,10.0,11.0,10.0,15.0,12.0,4.0,5.0,3.0,7.0,8.0,5.0,5.0,11.0,8.0,8.0,5.0,8.0,9.0,25.0,14.0,1.0,7.0,1.0,1.0,3.0,3.0,4.0,2.0,9.0,1.0,,,1.0,1.0,3.0,3.0,4.0,2.0,9.0,1.0,5.0,9.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,1.0
Canton,Canton Town Police Dept,CT,6.0,3.0,0.0,2.0,2.0,5.0,1.0,0.0,0.0,13.0,12.0,12.0,7.0,7.0,7.0,4.0,7.0,4.0,4.0,2.0,5.0,4.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,,4.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
