City,Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006_hist,2007_hist,2008_hist,2009_hist,2010_hist,2011_hist,2012_hist,2013_hist,2014_hist,Unnamed: 32,2006_new,2007_new,2008_new,2009_new,2010_new,2011_new,2012_new,2013_new,2014_new,2015,2016,2006_diff,2006_diff_pct,2006,2007_diff,2007_diff_pct,2007,2008_diff,2008_diff_pct,2008,2009_diff,2009_diff_pct,2009,2010_diff,2010_diff_pct,2010,2011_diff,2011_diff_pct,2011,2012_diff,2012_diff_pct,2012,2013_diff,2013_diff_pct,2013,2014_diff,2014_diff_pct,2014
Ansonia,Ansonia Police Dept,CT,33.0,5.0,1.0,5.0,4.0,1.0,10.0,3.0,2.0,7.0,7.0,6.0,12.0,15.0,11.0,7.0,1.0,9.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,,,,3.0,3.0,3.0,4.0,2.0,3.0,4.0,5.0,6.0,5.0,2.0,-1.0,-0.25,,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,4.0,,,,,,
Avon,Avon Police Dept,CT,0.0,0.0,2.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,2.0,,,,3.0,0.0,1.0,3.0,1.0,0.0,2.0,8.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,2.0,,,,,,
Berlin,Berlin Police Dept,CT,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,,,,1.0,1.0,2.0,1.0,2.0,1.0,0.0,5.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,,0.0,,,,,,
Bethel,Bethel Police Dept,CT,3.0,4.0,4.0,3.0,3.0,4.0,11.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,,,,1.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,3.0,,,,,,
Bloomfield,Bloomfield Police Dept,CT,3.0,5.0,5.0,6.0,2.0,6.0,3.0,4.0,4.0,7.0,7.0,8.0,5.0,7.0,8.0,7.0,14.0,8.0,16.0,16.0,4.0,8.0,9.0,4.0,12.0,3.0,6.0,5.0,,,,,9.0,4.0,12.0,3.0,6.0,5.0,9.0,6.0,8.0,9.0,,,,0.0,0.0,9.0,0.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,5.0,,,,,,
Branford,Branford Police Dept,CT,0.0,2.0,3.0,0.0,4.0,1.0,4.0,4.0,2.0,6.0,3.0,2.0,7.0,13.0,15.0,19.0,9.0,6.0,10.0,14.0,16.0,15.0,6.0,13.0,0.0,0.0,0.0,0.0,,,,,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,0.0,0.0,6.0,0.0,0.0,13.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,,
Bridgeport,Bridgeport Police Dept,CT,57.0,75.0,58.0,90.0,70.0,79.0,82.0,74.0,72.0,59.0,46.0,61.0,89.0,74.0,66.0,85.0,69.0,65.0,49.0,59.0,65.0,69.0,77.0,58.0,58.0,57.0,116.0,388.0,82.0,,,69.0,77.0,58.0,58.0,57.0,116.0,388.0,,92.0,80.0,69.0,0.0,0.0,69.0,0.0,0.0,77.0,0.0,0.0,58.0,0.0,0.0,58.0,0.0,0.0,57.0,0.0,0.0,116.0,0.0,0.0,388.0,,,,,,
Bristol,Bristol Police Dept,CT,4.0,2.0,6.0,3.0,5.0,12.0,6.0,2.0,5.0,34.0,19.0,20.0,14.0,18.0,22.0,9.0,16.0,32.0,9.0,23.0,14.0,13.0,12.0,27.0,26.0,27.0,10.0,9.0,,,,13.0,12.0,27.0,26.0,27.0,10.0,9.0,15.0,11.0,11.0,10.0,0.0,0.0,13.0,0.0,0.0,12.0,0.0,0.0,27.0,0.0,0.0,26.0,0.0,0.0,27.0,0.0,0.0,10.0,0.0,0.0,9.0,,,,,,
Brookfield,Brookfield Police Dept,CT,2.0,3.0,1.0,1.0,4.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,0.0,,,,,,
Canton,Canton Town Police Dept,CT,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,,,,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,
Cheshire,Cheshire Police Dept,CT,2.0,3.0,2.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,-1.0,-1.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,,
Clinton,Clinton Police Dept,CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,2.0,1.0,1.0,5.0,2.0,7.0,3.0,5.0,7.0,3.0,7.0,7.0,16.0,,,,,5.0,7.0,3.0,7.0,7.0,16.0,6.0,7.0,5.0,7.0,,,,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,16.0,,,,,,
Coventry,Coventry Police Dept,CT,0.0,2.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,5.0,1.0,5.0,2.0,,,,,1.0,1.0,4.0,1.0,5.0,2.0,1.0,6.0,1.0,1.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,-0.2,,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,,,,,,
Cromwell,Cromwell Police Dept,CT,2.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,,,,,3.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,,,,0.0,0.0,3.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,
