City,Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006_hist,2007_hist,2008_hist,2009_hist,2010_hist,2011_hist,2012_hist,2013_hist,2014_hist,Unnamed: 32,2006_new,2007_new,2008_new,2009_new,2010_new,2011_new,2012_new,2013_new,2014_new,2015,2016,2006_diff,2006_diff_pct,2006,2007_diff,2007_diff_pct,2007,2008_diff,2008_diff_pct,2008,2009_diff,2009_diff_pct,2009,2010_diff,2010_diff_pct,2010,2011_diff,2011_diff_pct,2011,2012_diff,2012_diff_pct,2012,2013_diff,2013_diff_pct,2013,2014_diff,2014_diff_pct,2014
		,		,"1. The figures shown in this column for the offense of rape were estimated using the legacy UCR definition of rape - previously known as ""Forcible"" rape.  See UCR Offense Definitions for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		,		,2. The figures shown in this column for the offense of rape were estimated using the revised Uniform Crime Reporting (UCR) definition of rape. In December 2011 the UCR program changed its definition of SRS rape to this revised definition. This change can be seen in the UCR data starting in 2013. Prior to 2013 this column will be blank. See UCR Offense Definitions for further information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              MSA and non-MSA county populations are not available.,              MSA and non-MSA county populations are not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Variations in population coverage and reporting practices may cause differences in reporting from year to year. (See definitions),              Variations in population coverage and reporting practices may cause differences in reporting from year to year. (See definitions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Crime rates are not available for agencies that report data for less than 12 months of a year.,          Crime rates are not available for agencies that report data for less than 12 months of a year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Avon Connecticut 2010 - Because of changes in the agency's reporting practices, 2010 figures are not comparable to previous years' data.","         Avon Police Dept Connecticut 2010 - Because of changes in the agency's reporting practices, 2010 figures are not comparable to previous years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Bristol Connecticut 1993 - Due to reporting changes, 1993 aggravated assault figure is not comparable to previous years.","         Bristol Police Dept Connecticut 1993 - Due to reporting changes, 1993 aggravated assault figure is not comparable to previous years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Fairfield Connecticut 1993 - Due to reporting changes, 1993 aggravated assault figure is not comparable to previous years.","         Fairfield Police Dept Connecticut 1993 - Due to reporting changes, 1993 aggravated assault figure is not comparable to previous years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Manchester Connecticut 2004 - Because of changes in reporting practices, annexations, and/or incomplete data, 2004 figures are not comparable to previous years' data.","         Manchester Police Dept Connecticut 2004 - Because of changes in reporting practices, annexations, and/or incomplete data, 2004 figures are not comparable to previous years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Stamford Connecticut 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data.","         Stamford Police Dept Connecticut 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
